Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
"Camara da Cidade do Paulista";;;;;;11.480.000,00;11.706.160,00;11.480.341,05;11.480.341,05;11.480.341,05;100,00
;"CAMARA MUNICIPAL DO PAULISTA ";;;;;11.480.000,00;11.706.160,00;11.480.341,05;11.480.341,05;11.480.341,05;100,00
;;"DESPESAS CORRENTES";;;;11.370.000,00;11.697.660,00;11.472.555,64;11.472.555,64;11.472.555,64;100,00
;;;"OUTRAS DESPESAS CORRENTES";;;1.515.000,00;1.951.160,00;1.728.641,87;1.728.641,87;1.728.641,87;100,00
;;;;"Despesas de Exercicios Anteriores";;10.000,00;10.000,00;8.764,76;8.764,76;8.764,76;100,00
;;;;;"SEM APLICACAO";10.000,00;10.000,00;8.764,76;8.764,76;8.764,76;100,00
;;;;"Diarias   Civil";;320.000,00;689.000,00;687.891,30;687.891,30;687.891,30;100,00
;;;;;"SEM APLICACAO";320.000,00;689.000,00;687.891,30;687.891,30;687.891,30;100,00
;;;;"Indenizacoes e Restituicoes";;120.000,00;115.500,00;115.200,00;115.200,00;115.200,00;100,00
;;;;;"SEM APLICACAO";120.000,00;115.500,00;115.200,00;115.200,00;115.200,00;100,00
;;;;"Material de Consumo";;335.000,00;224.160,00;123.584,19;123.584,19;123.584,19;100,00
;;;;;"SEM APLICACAO";335.000,00;224.160,00;123.584,19;123.584,19;123.584,19;100,00
;;;;"Outros Beneficios Assistenciais";;20.000,00;5.500,00;5.280,00;5.280,00;5.280,00;100,00
;;;;;"SEM APLICACAO";20.000,00;5.500,00;5.280,00;5.280,00;5.280,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;10.000,00;500,00;270,00;270,00;270,00;100,00
;;;;;"SEM APLICACAO";10.000,00;500,00;270,00;270,00;270,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;700.000,00;906.500,00;787.651,62;787.651,62;787.651,62;100,00
;;;;;"SEM APLICACAO";700.000,00;906.500,00;787.651,62;787.651,62;787.651,62;100,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;9.855.000,00;9.746.500,00;9.743.913,77;9.743.913,77;9.743.913,77;100,00
;;;;"Contribuicoes Patronais  19  I ";;1.585.000,00;1.620.000,00;1.617.714,13;1.617.714,13;1.617.714,13;100,00
;;;;;"SEM APLICACAO";480.000,00;481.000,00;480.569,07;480.569,07;480.569,07;100,00
;;;;;"SEM APLICACAO";1.105.000,00;1.139.000,00;1.137.145,06;1.137.145,06;1.137.145,06;100,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";20.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Sentencas Judiciais";;100.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";100.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;8.150.000,00;8.126.500,00;8.126.199,64;8.126.199,64;8.126.199,64;100,00
;;;;;"SEM APLICACAO";8.150.000,00;8.126.500,00;8.126.199,64;8.126.199,64;8.126.199,64;100,00
;;"DESPESAS DE CAPITAL";;;;110.000,00;8.500,00;7.785,41;7.785,41;7.785,41;100,00
;;;"INVESTIMENTOS";;;110.000,00;8.500,00;7.785,41;7.785,41;7.785,41;100,00
;;;;"Equipamentos e Material Permanente";;60.000,00;8.500,00;7.785,41;7.785,41;7.785,41;100,00
;;;;;"SEM APLICACAO";60.000,00;8.500,00;7.785,41;7.785,41;7.785,41;100,00
;;;;"Obras e Instalacoes";;50.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";50.000,00;0,00;0,00;0,00;0,00;0,00
"Conselho Municipal dos Direitos da Crianca e do Adolecente da Cidade do Paulista";;;;;;1.436.300,00;1.999.510,67;1.878.924,13;1.119.310,52;1.119.310,52;59,57
;"CONSELHO FUNDO MUNICIPAL DA CRIANCA E DO ADOLESCE";;;;;1.436.300,00;1.999.510,67;1.878.924,13;1.119.310,52;1.119.310,52;59,57
