Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
"Administracao";;;;;53.742.500,00;90.646.581,64;69.515.026,99;61.874.368,09;57.558.365,11;82,80
;"Administracao Financeira";;;;243.000,00;536.051,00;340.477,00;294.760,05;283.598,75;83,29
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPI";;;243.000,00;536.051,00;340.477,00;294.760,05;283.598,75;83,29
;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL";;243.000,00;536.051,00;340.477,00;294.760,05;283.598,75;83,29
;;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL";243.000,00;536.051,00;340.477,00;294.760,05;283.598,75;83,29
;"Administracao Geral";;;;42.740.800,00;72.288.651,32;59.426.410,00;52.503.571,12;48.958.005,59;82,38
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE AD";;;3.101.300,00;2.965.424,94;2.774.408,44;2.676.537,29;2.514.060,50;90,62
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ";;3.101.300,00;2.965.424,94;2.774.408,44;2.676.537,29;2.514.060,50;90,62
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ";3.101.300,00;2.965.424,94;2.774.408,44;2.676.537,29;2.514.060,50;90,62
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE AR";;;698.000,00;3.919.910,00;1.967.550,71;1.966.651,35;1.790.327,92;90,99
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ";;698.000,00;3.919.910,00;1.967.550,71;1.966.651,35;1.790.327,92;90,99
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ";698.000,00;3.919.910,00;1.967.550,71;1.966.651,35;1.790.327,92;90,99
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE AS";;;681.400,00;794.078,40;656.496,14;654.546,14;582.770,11;88,77
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ";;681.400,00;794.078,40;656.496,14;654.546,14;582.770,11;88,77
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ";681.400,00;794.078,40;656.496,14;654.546,14;582.770,11;88,77
