Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E;ano
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;despesas de exercicios anteriores;sem aplicacao;10000.0;10000.0;8764.76;8764.76;8764.76;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;diarias   civil;sem aplicacao;320000.0;689000.0;687891.3;687891.3;687891.3;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;indenizacoes e restituicoes;sem aplicacao;120000.0;115500.0;115200.0;115200.0;115200.0;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;material de consumo;sem aplicacao;335000.0;224160.0;123584.19;123584.19;123584.19;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;outros beneficios assistenciais;sem aplicacao;20000.0;5500.0;5280.0;5280.0;5280.0;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa fisica;sem aplicacao;10000.0;500.0;270.0;270.0;270.0;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;outras despesas correntes;outros servicos de terceiros   pessoa juridica;sem aplicacao;700000.0;906500.0;787651.62;787651.62;787651.62;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;pessoal e encargos sociais;contribuicoes patronais  19  i ;sem aplicacao;480000.0;481000.0;480569.07;480569.07;480569.07;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;pessoal e encargos sociais;contribuicoes patronais  19  i ;sem aplicacao;1105000.0;1139000.0;1137145.06;1137145.06;1137145.06;100.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;pessoal e encargos sociais;outras despesas variaveis   pessoal civil;sem aplicacao;20000.0;0.0;0.0;0.0;0.0;0.0;2016
camara da cidade do paulista;camara municipal do paulista ;despesas correntes;pessoal e encargos sociais;sentencas judiciais;sem aplicacao;100000.0;0.0;0.0;0.0;0.0;0.0;2016
