Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E;ano
administracao;administracao financeira;gestao do sistema de controle interno do municipi;administracao orcamentaria  financeira e contabil;administracao orcamentaria  financeira e contabil;243000.0;536051.0;340477.0;294760.05;283598.75;83.29;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de ad;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;3101300.0;2965424.94;2774408.44;2676537.29;2514060.5;90.62;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de ar;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;698000.0;3919910.0;1967550.71;1966651.35;1790327.92;90.99;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de as;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;681400.0;794078.4;656496.14;654546.14;582770.11;88.77;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de de;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;463400.0;474477.4;361132.69;339653.64;312869.1;86.64;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de fi;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;673000.0;849494.75;784348.9;780468.9;657583.81;83.84;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de po;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;1004500.0;1365110.0;952785.66;952785.66;875434.11;91.88;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de po;regularizacao de saldos de recursos de convenios ;regularizacao de saldos de recursos de convenios ;2000.0;2310.0;2302.5;2302.5;2302.5;100.0;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de tu;gestao administrativa das acoes da secretaria de ;gestao administrativa das acoes da secretaria de ;514300.0;1145831.4;254292.97;253728.67;226526.03;89.08;2016
administracao;administracao geral;apoio administrativo as acoes da secretaria de tu;regularizacao de saldos de recursos de convenios ;regularizacao de saldos de recursos de convenios ;500.0;0.0;0.0;0.0;0.0;0.0;2016
administracao;administracao geral;apoio administrativo as acoes do gabinete do pref;gestao administrativa das acoes do gabinete do pr;gestao administrativa das acoes do gabinete do pr;2046100.0;2579884.75;2213424.48;2157801.75;2019601.33;91.24;2016
administracao;administracao geral;assessoramento superior ao chefe do executivo mun;acao de assessoramento ao prefeito ;acao de assessoramento ao prefeito ;55000.0;7000.0;0.0;0.0;0.0;0.0;2016
administracao;administracao geral;assessoramento superior ao chefe do executivo mun;gestao administrativa das acoes do gabinete do vi;gestao administrativa das acoes do gabinete do vi;864200.0;1265200.0;648418.8;648418.8;595883.11;91.9;2016
administracao;administracao geral;coordenacao das relacoes publicas do executivo mu;articulacao das relacoes politicas do prefeito;articulacao das relacoes politicas do prefeito;700.0;0.0;0.0;0.0;0.0;0.0;2016
administracao;administracao geral;encargos administrativos do municipio ;apoio a orgaos governamentais ;apoio a orgaos governamentais ;29300.0;6490.0;2152.73;2152.73;689.73;32.04;2016
administracao;administracao geral;encargos administrativos do municipio ;auxilio transporte para os servidores da prefeitu;auxilio transporte para os servidores da prefeitu;3300000.0;3951580.0;2974978.15;2974978.15;2808852.05;94.42;2016
administracao;administracao geral;encargos administrativos do municipio ;contribuicao adicional da prefeitura ao previ pau;contribuicao adicional da prefeitura ao previ pau;11602000.0;28600000.0;28600000.0;22156979.03;21156979.03;73.98;2016
administracao;administracao geral;encargos administrativos do municipio ;diversos encargos administrativos ;diversos encargos administrativos ;645000.0;1727840.0;963844.12;963844.12;796764.96;82.67;2016
administracao;administracao geral;encargos administrativos do municipio ;encargos com pessoal a disposicao de diversos org;encargos com pessoal a disposicao de diversos org;3571700.0;7016231.48;4934678.38;4934678.38;4557262.85;92.35;2016
