Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
"Camara da Cidade do Paulista";;;;;;14.432.400,00;16.505.400,00;16.487.650,15;16.471.189,50;16.471.189,50;99,90
;"CAMARA MUNICIPAL DO PAULISTA   ADMINISTRACAO DIRETA";;;;;14.432.400,00;16.505.400,00;16.487.650,15;16.471.189,50;16.471.189,50;99,90
;;"DESPESAS CORRENTES";;;;14.355.400,00;16.489.400,00;16.471.852,15;16.455.391,50;16.455.391,50;99,90
;;;"OUTRAS DESPESAS CORRENTES";;;930.000,00;2.538.000,00;2.533.796,57;2.533.796,57;2.533.796,57;100,00
;;;;"Auxilio Alimentacao";;100.000,00;2.138.000,00;2.137.410,00;2.137.410,00;2.137.410,00;100,00
;;;;;"SEM APLICACAO";100.000,00;2.138.000,00;2.137.410,00;2.137.410,00;2.137.410,00;100,00
;;;;"Auxilio Transporte";;92.000,00;63.000,00;62.086,54;62.086,54;62.086,54;100,00
;;;;;"SEM APLICACAO";92.000,00;63.000,00;62.086,54;62.086,54;62.086,54;100,00
;;;;"Despesas de Exercicios Anteriores";;5.000,00;500,00;62,67;62,67;62,67;100,00
;;;;;"SEM APLICACAO";5.000,00;500,00;62,67;62,67;62,67;100,00
;;;;"Diarias   Civil";;92.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";92.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Indenizacoes e Restituicoes";;5.000,00;1.500,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;1.500,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;47.000,00;38.000,00;37.437,74;37.437,74;37.437,74;100,00
;;;;;"SEM APLICACAO";47.000,00;38.000,00;37.437,74;37.437,74;37.437,74;100,00
;;;;"Outros Beneficios Assistenciais";;95.000,00;83.000,00;82.800,00;82.800,00;82.800,00;100,00
;;;;;"SEM APLICACAO";95.000,00;83.000,00;82.800,00;82.800,00;82.800,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;7.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";7.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;367.000,00;214.000,00;213.999,62;213.999,62;213.999,62;100,00
;;;;;"SEM APLICACAO";367.000,00;214.000,00;213.999,62;213.999,62;213.999,62;100,00
;;;;"Servicos de Consultoria";;120.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";120.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;13.425.400,00;13.951.400,00;13.938.055,58;13.921.594,93;13.921.594,93;99,88
;;;;"Contribuicoes Patronais  19  I ";;2.424.200,00;2.530.200,00;2.521.944,64;2.521.944,64;2.521.944,64;100,00
;;;;;"SEM APLICACAO";620.000,00;603.000,00;602.715,60;602.715,60;602.715,60;100,00
;;;;;"SEM APLICACAO";1.804.200,00;1.927.200,00;1.919.229,04;1.919.229,04;1.919.229,04;100,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Sentencas Judiciais";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;10.991.200,00;11.421.200,00;11.416.110,94;11.399.650,29;11.399.650,29;99,86
;;;;;"SEM APLICACAO";10.991.200,00;11.421.200,00;11.416.110,94;11.399.650,29;11.399.650,29;99,86
;;"DESPESAS DE CAPITAL";;;;77.000,00;16.000,00;15.798,00;15.798,00;15.798,00;100,00
;;;"INVESTIMENTOS";;;77.000,00;16.000,00;15.798,00;15.798,00;15.798,00;100,00
;;;;"Equipamentos e Material Permanente";;47.000,00;16.000,00;15.798,00;15.798,00;15.798,00;100,00
;;;;;"SEM APLICACAO";47.000,00;16.000,00;15.798,00;15.798,00;15.798,00;100,00
;;;;"Obras e Instalacoes";;30.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";30.000,00;0,00;0,00;0,00;0,00;0,00
"Conselho Municipal dos Direitos da Crianca e do Adolecente da Cidade do Paulista";;;;;;1.525.100,00;1.540.530,00;1.318.033,77;1.304.442,61;1.287.093,87;97,65
;"CONSELHO FUNDO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;;;;1.525.100,00;1.540.530,00;1.318.033,77;1.304.442,61;1.287.093,87;97,65
;;"DESPESAS CORRENTES";;;;1.521.400,00;1.519.480,00;1.314.663,19;1.301.072,03;1.283.723,29;97,65
;;;"OUTRAS DESPESAS CORRENTES";;;1.521.400,00;1.519.480,00;1.314.663,19;1.301.072,03;1.283.723,29;97,65
;;;;"Indenizacoes e Restituicoes";;2.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;2.000,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;30.000,00;30.000,00;3.604,58;3.604,58;3.604,58;100,00
;;;;;"SEM APLICACAO";30.000,00;30.000,00;3.604,58;3.604,58;3.604,58;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;1.000,00;18.600,00;11.946,90;11.946,90;11.946,90;100,00
;;;;;"SEM APLICACAO";1.000,00;18.600,00;11.946,90;11.946,90;11.946,90;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;5.000,00;93.400,00;74.303,04;74.303,04;59.583,67;80,19
;;;;;"SEM APLICACAO";5.000,00;93.400,00;74.303,04;74.303,04;59.583,67;80,19
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;492.100,00;384.180,00;265.696,72;252.105,56;249.476,19;93,90
;;;;;"SEM APLICACAO";492.100,00;384.180,00;265.696,72;252.105,56;249.476,19;93,90
;;;;"Passagens e Despesas com Locomocao";;1.000,00;1.000,00;0,00;0,00;0,00;0,00
