Função;Subfunção;Programa;Projeto/Atividade/Operações Especiais;Ação;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P);P/E
"Administracao";;;;;66.633.100,00;58.115.663,00;33.857.229,35;33.647.662,64;33.607.531,09;99,26
;"Administracao Financeira";;;;361.300,00;581.300,00;511.284,95;511.284,95;509.137,82;99,58
;;"GESTAO DO SISTEMA DE CONTROLE INTERNO DO MUNICIPIO";;;361.300,00;581.300,00;511.284,95;511.284,95;509.137,82;99,58
;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";;361.300,00;581.300,00;511.284,95;511.284,95;509.137,82;99,58
;;;;"ADMINISTRACAO ORCAMENTARIA  FINANCEIRA E CONTABIL DO MUNICIPIO";361.300,00;581.300,00;511.284,95;511.284,95;509.137,82;99,58
;"Administracao Geral";;;;43.779.700,00;43.777.153,30;19.636.362,16;19.552.620,63;19.514.636,21;99,38
;;"APOIO ADMINISTRATIVO AS ACOES DA SECRETARIA DE ADMINISTRACAO";;;3.387.800,00;4.442.618,00;4.403.939,55;4.353.017,55;4.342.399,47;98,60
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";;3.387.800,00;4.442.618,00;4.403.939,55;4.353.017,55;4.342.399,47;98,60
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE ADMINISTRACAO";3.387.800,00;4.442.618,00;4.403.939,55;4.353.017,55;4.342.399,47;98,60
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DA DESENVOLVIMENTO ECONOMICO";;;1.449.100,00;1.105.404,00;1.097.317,30;1.097.317,30;1.097.317,30;100,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.449.100,00;1.105.404,00;1.097.317,30;1.097.317,30;1.097.317,30;100,00
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.449.100,00;1.105.404,00;1.097.317,30;1.097.317,30;1.097.317,30;100,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE EDUCACAO";;;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE EDUCACAO";3.000,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE FINANCAS";;;1.188.800,00;1.323.064,00;1.247.074,24;1.237.599,00;1.233.435,61;98,91
;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";;1.188.800,00;1.323.064,00;1.247.074,24;1.237.599,00;1.233.435,61;98,91
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DA SECRETARIA DE FINANCAS";1.188.800,00;1.323.064,00;1.247.074,24;1.237.599,00;1.233.435,61;98,91
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE INFRAESTRUTURA";;;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;"CONSERVACAO E QUALIFICACAO DE PREDIOS PUBLICOS";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"CONSERVACAO E QUALIFICACAO DE PREDIOS PUBLICOS";10.000,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE POLITICAS SOCIAIS  ESPORTES E JUVENTUDE";;;2.236.500,00;1.946.658,00;1.946.567,15;1.937.213,70;1.937.213,70;99,52
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA DE POLITICAS SOCIAIS";;2.233.500,00;1.946.658,00;1.946.567,15;1.937.213,70;1.937.213,70;99,52
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO FUNDO MUNICIPAL DE ASSISTENCIA DE POLITICAS SOCIAIS";2.233.500,00;1.946.658,00;1.946.567,15;1.937.213,70;1.937.213,70;99,52
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";;3.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS E PROGRAMAS";3.000,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DE SECRETARIA DE TURISMO E CULTURA";;;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";1.000,00;0,00;0,00;0,00;0,00;0,00
;;"APOIO ADMINISTRATIVO AS ACOES DO GABINETE DO PREFEITO";;;1.404.400,00;1.022.139,04;1.018.515,79;1.015.724,93;1.015.724,93;99,73
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;1.404.400,00;1.022.139,04;1.018.515,79;1.015.724,93;1.015.724,93;99,73
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";1.404.400,00;1.022.139,04;1.018.515,79;1.015.724,93;1.015.724,93;99,73
;;"ASSESSORAMENTO SUPERIOR AO CHEFE DO EXECUTIVO MUNICIPAL";;;740.100,00;635.316,00;631.882,60;631.882,60;631.594,78;99,95
;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";;19.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"ACAO DE ASSESSORAMENTO AO PREFEITO";19.000,00;0,00;0,00;0,00;0,00;0,00
;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";;721.100,00;635.316,00;631.882,60;631.882,60;631.594,78;99,95
;;;;"GESTAO ADMINISTRATIVA DAS ACOES DO GABINETE DO VICE PREFEITO";721.100,00;635.316,00;631.882,60;631.882,60;631.594,78;99,95
;;"COORDENACAO DAS RELACOES PUBLICAS DO EXECUTUVO MUNICIPAL";;;212.500,00;17.730,00;17.724,01;17.724,01;17.724,01;100,00
;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";;212.500,00;17.730,00;17.724,01;17.724,01;17.724,01;100,00
;;;;"ARTICULACAO DAS RELACOES POLITICAS DO PREFEITO";212.500,00;17.730,00;17.724,01;17.724,01;17.724,01;100,00
;;"GESTAO DA POLITICA DAS FINANCAS DO MUNICIPIO";;;942.700,00;1.006.660,00;1.006.649,83;1.006.649,83;1.006.649,83;100,00
;;;"SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE FINANCAS";;942.700,00;1.006.660,00;1.006.649,83;1.006.649,83;1.006.649,83;100,00
;;;;"SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE FINANCAS";942.700,00;1.006.660,00;1.006.649,83;1.006.649,83;1.006.649,83;100,00
;;"GESTAO DA POLITICA DE DESENVOLVIMENTO ECONOMICO DO MUNICIPIO";;;770.900,00;805.530,00;805.500,00;805.500,00;805.500,00;100,00
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";;770.900,00;805.530,00;805.500,00;805.500,00;805.500,00;100,00
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE DESENVOLVIMENTO ECONOMICO  TURISMO E CULTURA";770.900,00;805.530,00;805.500,00;805.500,00;805.500,00;100,00
;;"GESTAO DAS ACOES ADMINISTRATIVAS NO MUNICIPIO";;;829.500,00;986.550,00;984.277,01;984.277,01;961.361,88;97,67
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ADMINISTRACAO.";;829.500,00;986.550,00;984.277,01;984.277,01;961.361,88;97,67
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DA SECRETARIA DE ADMINISTRACAO.";829.500,00;986.550,00;984.277,01;984.277,01;961.361,88;97,67
;;"GESTAO DAS ACOES DAS ADMINISTRACOES REGIONAIS";;;1.171.700,00;1.148.230,00;1.148.222,48;1.148.222,48;1.148.222,48;100,00
;;;"APOIO AS ADMINISTRACOES REGIONAIS DO MUNICIPIO";;1.166.700,00;1.148.230,00;1.148.222,48;1.148.222,48;1.148.222,48;100,00
;;;;"APOIO AS ADMINISTRACOES REGIONAIS DO MUNICIPIO";1.166.700,00;1.148.230,00;1.148.222,48;1.148.222,48;1.148.222,48;100,00
;;;"SUPERVISAO E COORDENACAO DAS ACOES DA COORDENADORIA DAS ADMINISTRACOES DAS REGIONAIS";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"SUPERVISAO E COORDENACAO DAS ACOES DA COORDENADORIA DAS ADMINISTRACOES DAS REGIONAIS";5.000,00;0,00;0,00;0,00;0,00;0,00
;;"GESTAO DOS PROCESSOS ADMINISTRATIVOS DO MUNICIPIO";;;2.315.700,00;2.281.551,00;2.278.012,16;2.278.012,16;2.278.012,16;100,00
;;;"ADMINISTRACAO DE PESSOAL";;1.657.400,00;1.618.971,00;1.618.938,66;1.618.938,66;1.618.938,66;100,00
;;;;"ADMINISTRACAO DE PESSOAL";1.657.400,00;1.618.971,00;1.618.938,66;1.618.938,66;1.618.938,66;100,00
;;;"ADMINISTRACAO E CONTROLE DO PATRIMONIO DO MUNICIPIO";;306.600,00;323.600,00;321.977,35;321.977,35;321.977,35;100,00
;;;;"ADMINISTRACAO E CONTROLE DO PATRIMONIO DO MUNICIPIO";306.600,00;323.600,00;321.977,35;321.977,35;321.977,35;100,00
;;;"GESTAO DOS PROCESSOS DE COMPRAS E SUPRIMENTOS";;351.700,00;338.980,00;337.096,15;337.096,15;337.096,15;100,00
;;;;"GESTAO DOS PROCESSOS DE COMPRAS E SUPRIMENTOS";351.700,00;338.980,00;337.096,15;337.096,15;337.096,15;100,00
;;"GESTAO SUPERIOR DA ADMINISTRACAO MUNICIPAL";;;2.924.000,00;2.900.793,26;2.900.307,26;2.889.107,28;2.889.107,28;99,61
;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";;2.918.000,00;2.900.793,26;2.900.307,26;2.889.107,28;2.889.107,28;99,61
;;;;"DIRECAO  SUPERVISAO E COORDENACAO DAS ACOES DO GABINETE DO PREFEITO E RELACOES INSTITUCIONAIS";2.918.000,00;2.900.793,26;2.900.307,26;2.889.107,28;2.889.107,28;99,61
;;;"SERVICO DE PROTOCOLO DO GABINETE DO PREFEITO";;6.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"SERVICO DE PROTOCOLO DO GABINETE DO PREFEITO";6.000,00;0,00;0,00;0,00;0,00;0,00
;;"MELHORIA DOS PREDIOS PUBLICOS";;;24.187.000,00;24.154.910,00;150.372,78;150.372,78;150.372,78;100,00
;;;"CONSERVACAO DE PREDIOS DA ADMINISTRACAO PUBLICA MUNIICIPAL";;185.000,00;154.910,00;150.372,78;150.372,78;150.372,78;100,00
;;;;"CONSERVACAO DE PREDIOS DA ADMINISTRACAO PUBLICA MUNIICIPAL";185.000,00;154.910,00;150.372,78;150.372,78;150.372,78;100,00
;;;"CONSTRUCAO E REFORMA DE PREDIOS DA ADMINISTRACAO PUBLICA";;24.002.000,00;24.000.000,00;0,00;0,00;0,00;0,00
;;;;"CONSTRUCAO E REFORMA DE PREDIOS DA ADMINISTRACAO PUBLICA";24.002.000,00;24.000.000,00;0,00;0,00;0,00;0,00
;;"PLANEJAMENTO DA POLITICA DE ACAO DE SAUDE DO MUNICIPIO";;;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;"REGULARIZACAO DE SALDOS DE RECURSOS DE CONVENIOS DA SECRETARIA DE SAUDE";;5.000,00;0,00;0,00;0,00;0,00;0,00
