Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
"DESPESAS CORRENTES";;;;434.835.200,00;453.053.580,00;436.890.738,12;429.273.541,90;393.830.834,94
;"PESSOAL E ENCARGOS SOCIAIS";;;262.375.300,00;285.988.600,00;279.107.882,70;279.027.379,32;258.730.291,32
;;"Aposentadorias  Reserva Remunerada e Reformas";;44.519.800,00;52.296.270,00;52.296.219,34;52.296.219,34;48.121.927,63
;;;"Aposentadorias  Reserva Remunerada e Reformas";44.519.800,00;52.296.270,00;52.296.219,34;52.296.219,34;48.121.927,63
;;"Pensoes";;7.125.400,00;8.243.840,00;8.243.821,31;8.243.821,31;7.573.143,67
;;;"Pensoes";7.125.400,00;8.243.840,00;8.243.821,31;8.243.821,31;7.573.143,67
;;"Contratacao por Tempo Determinado";;19.708.900,00;25.755.130,00;24.895.363,52;24.895.363,52;22.875.214,78
;;;"Contratacao por Tempo Determinado";19.708.900,00;25.755.130,00;24.895.363,52;24.895.363,52;22.875.214,78
;;"Outros Benefic.Previd.Servidor ou Milita";;15.000,00;14.300,00;11.077,81;11.077,81;11.053,15
;;;"Outros Benefic.Previd.Servidor ou Milita";15.000,00;14.300,00;11.077,81;11.077,81;11.053,15
;;"Beneficio Mensal ao Defic. e ao Idoso";;0,00;0,00;0,00;0,00;0,00
;;;"Beneficio Mensal ao Defic. e ao Idoso";0,00;0,00;0,00;0,00;0,00
;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;136.488.000,00;137.367.620,00;134.646.549,74;134.646.549,74;125.113.806,57
;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";136.488.000,00;137.367.620,00;134.646.549,74;134.646.549,74;125.113.806,57
;;"Obrigacoes Patronais  19  I ";;31.947.100,00;41.337.720,00;38.256.868,65;38.256.868,65;35.452.283,86
;;;"Obrigacoes Patronais  19  I ";10.307.200,00;30.060.440,00;26.992.263,84;26.992.263,84;24.996.605,94
;;;"Obrigacoes Patronais";21.639.900,00;11.277.280,00;11.264.604,81;11.264.604,81;10.455.677,92
