Órgão;Unidade;Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (P);Liquidado;Pago (P);P/E
"Camara da Cidade do Paulista";;;;;;14.432.400,00;15.068.400,00;0,00;0,00;0,00;0,00
;"CAMARA MUNICIPAL DO PAULISTA   ADMINISTRACAO DIRETA";;;;;14.432.400,00;15.068.400,00;0,00;0,00;0,00;0,00
;;"DESPESAS CORRENTES";;;;14.395.400,00;15.068.400,00;0,00;0,00;0,00;0,00
;;;"OUTRAS DESPESAS CORRENTES";;;2.041.000,00;2.346.000,00;0,00;0,00;0,00;0,00
;;;;"Despesas de Exercicios Anteriores";;5.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;1.000,00;0,00;0,00;0,00;0,00
;;;;"Diarias   Civil";;26.800,00;10.800,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";26.800,00;10.800,00;0,00;0,00;0,00;0,00
;;;;"Indenizacoes e Restituicoes";;115.200,00;10.200,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";115.200,00;10.200,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;37.000,00;8.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";37.000,00;8.000,00;0,00;0,00;0,00;0,00
;;;;"Outros Beneficios Assistenciais";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;7.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";7.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;1.746.000,00;2.316.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.746.000,00;2.316.000,00;0,00;0,00;0,00;0,00
;;;;"Servicos de Consultoria";;94.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";94.000,00;0,00;0,00;0,00;0,00;0,00
;;;"PESSOAL E ENCARGOS SOCIAIS";;;12.354.400,00;12.722.400,00;0,00;0,00;0,00;0,00
;;;;"Contribuicoes Patronais  19  I ";;2.191.400,00;2.305.400,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";650.000,00;606.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.541.400,00;1.699.400,00;0,00;0,00;0,00;0,00
;;;;"Outras Despesas Variaveis   Pessoal Civil";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Sentencas Judiciais";;5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";5.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;10.153.000,00;10.417.000,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.153.000,00;10.417.000,00;0,00;0,00;0,00;0,00
;;"DESPESAS DE CAPITAL";;;;37.000,00;0,00;0,00;0,00;0,00;0,00
;;;"INVESTIMENTOS";;;37.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Equipamentos e Material Permanente";;27.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";27.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Obras e Instalacoes";;10.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";10.000,00;0,00;0,00;0,00;0,00;0,00
"Conselho Municipal dos Direitos da Crianca e do Adolecente da Cidade do Paulista";;;;;;1.525.100,00;2.572.320,00;2.270.966,11;2.269.066,11;1.239.288,09;54,57
;"CONSELHO FUNDO MUNICIPAL DA CRIANCA E DO ADOLESCENTE";;;;;1.525.100,00;2.572.320,00;2.270.966,11;2.269.066,11;1.239.288,09;54,57
;;"DESPESAS CORRENTES";;;;1.521.400,00;2.552.320,00;2.263.491,14;2.261.591,14;1.231.813,12;54,42
;;;"OUTRAS DESPESAS CORRENTES";;;1.521.400,00;2.552.320,00;2.263.491,14;2.261.591,14;1.231.813,12;54,42
;;;;"Indenizacoes e Restituicoes";;2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";2.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Material de Consumo";;30.000,00;21.855,74;11.847,00;11.847,00;11.847,00;100,00
;;;;;"SEM APLICACAO";30.000,00;21.855,74;11.847,00;11.847,00;11.847,00;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;1.000,00;940,00;938,16;938,16;938,16;100,00
;;;;;"SEM APLICACAO";1.000,00;940,00;938,16;938,16;938,16;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;5.000,00;5.390,00;5.380,95;5.380,95;5.380,95;100,00
;;;;;"SEM APLICACAO";5.000,00;5.390,00;5.380,95;5.380,95;5.380,95;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;492.100,00;362.777,61;213.981,39;213.981,39;213.981,39;100,00
;;;;;"SEM APLICACAO";492.100,00;362.777,61;213.981,39;213.981,39;213.981,39;100,00
;;;;"Passagens e Despesas com Locomocao";;1.000,00;146,65;146,65;146,65;146,65;100,00
;;;;;"SEM APLICACAO";1.000,00;146,65;146,65;146,65;146,65;100,00
;;;;"Servicos de Consultoria";;1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;;"SEM APLICACAO";1.000,00;0,00;0,00;0,00;0,00;0,00
;;;;"Subvencoes Sociais";;989.300,00;2.161.210,00;2.031.196,99;2.029.296,99;999.518,97;49,21
;;;;;"SEM APLICACAO";989.300,00;2.161.210,00;2.031.196,99;2.029.296,99;999.518,97;49,21
;;"DESPESAS DE CAPITAL";;;;3.700,00;20.000,00;7.474,97;7.474,97;7.474,97;100,00
;;;"INVESTIMENTOS";;;3.700,00;20.000,00;7.474,97;7.474,97;7.474,97;100,00
;;;;"Equipamentos e Material Permanente";;3.700,00;20.000,00;7.474,97;7.474,97;7.474,97;100,00
;;;;;"SEM APLICACAO";3.700,00;20.000,00;7.474,97;7.474,97;7.474,97;100,00
"Fundo de Saude da Cidade do Paulista";;;;;;96.569.300,00;97.616.170,00;95.235.924,82;90.902.574,28;84.193.773,62;88,41
;"FUNDO MUNICIPAL DE SAUDE";;;;;96.566.300,00;97.569.170,00;95.189.575,12;90.856.224,58;84.147.423,92;88,40
;;"DESPESAS CORRENTES";;;;92.143.600,00;93.298.150,00;90.956.636,41;87.262.801,72;81.062.195,18;89,12
;;;"OUTRAS DESPESAS CORRENTES";;;34.231.600,00;34.560.230,00;32.941.850,33;29.251.866,97;27.620.375,84;83,85
;;;;"Auxilio Alimentacao";;0,00;181.640,00;181.009,00;181.009,00;0,00;0,00
;;;;;"SEM APLICACAO";0,00;181.640,00;181.009,00;181.009,00;0,00;0,00
;;;;"Auxilio Fardamento";;0,00;91.420,00;80.652,00;80.652,00;0,00;0,00
;;;;;"SEM APLICACAO";0,00;91.420,00;80.652,00;80.652,00;0,00;0,00
;;;;"Auxilio Transporte";;2.326.000,00;2.771.040,00;2.771.038,16;2.771.038,16;2.533.038,26;91,41
;;;;;"SEM APLICACAO";2.326.000,00;2.771.040,00;2.771.038,16;2.771.038,16;2.533.038,26;91,41
;;;;"Despesas de Exercicios Anteriores";;225.000,00;224.830,00;192.022,08;172.673,55;163.659,85;85,23
;;;;;"SEM APLICACAO";225.000,00;224.830,00;192.022,08;172.673,55;163.659,85;85,23
;;;;"Diarias   Civil";;32.000,00;8.290,00;8.250,00;8.250,00;8.250,00;100,00
;;;;;"SEM APLICACAO";32.000,00;8.290,00;8.250,00;8.250,00;8.250,00;100,00
;;;;"Indenizacoes e Restituicoes";;55.000,00;240.000,00;229.655,70;58.295,94;58.295,94;25,38
;;;;;"SEM APLICACAO";55.000,00;240.000,00;229.655,70;58.295,94;58.295,94;25,38
;;;;"Locacao de Mao de Obra";;3.103.000,00;2.573.370,00;2.571.563,70;2.314.302,19;2.109.136,45;82,02
;;;;;"SEM APLICACAO";3.103.000,00;2.573.370,00;2.571.563,70;2.314.302,19;2.109.136,45;82,02
;;;;"Material de Consumo";;8.879.000,00;11.663.890,00;10.399.430,32;8.730.838,27;8.279.244,73;79,61
;;;;;"SEM APLICACAO";8.879.000,00;11.663.890,00;10.399.430,32;8.730.838,27;8.279.244,73;79,61
;;;;"Material de Distribuicao Gratuita";;0,00;140.000,00;116.970,00;116.970,00;116.970,00;100,00
;;;;;"SEM APLICACAO";0,00;140.000,00;116.970,00;116.970,00;116.970,00;100,00
;;;;"Obrigacoes Tributarias e Contributivas";;10.000,00;3.110,00;3.040,95;3.040,95;3.040,95;100,00
;;;;;"SEM APLICACAO";10.000,00;3.110,00;3.040,95;3.040,95;3.040,95;100,00
;;;;"Outros Auxilios Financeiros a Pessoas Fisicas";;1.128.900,00;741.200,00;741.200,00;741.200,00;741.200,00;100,00
;;;;;"SEM APLICACAO";1.128.900,00;741.200,00;741.200,00;741.200,00;741.200,00;100,00
;;;;"Outros Servicos de Terceiros   Pessoa Fisica";;418.000,00;373.040,00;370.274,45;366.653,05;335.073,91;90,49
;;;;;"SEM APLICACAO";418.000,00;373.040,00;370.274,45;366.653,05;335.073,91;90,49
;;;;"Outros Servicos de Terceiros   Pessoa Juridica";;18.004.700,00;15.533.560,00;15.262.909,27;13.696.864,74;13.262.988,23;86,90
;;;;;"SEM APLICACAO";18.004.700,00;15.533.560,00;15.262.909,27;13.696.864,74;13.262.988,23;86,90
;;;;"Passagens e Despesas com Locomocao";;50.000,00;14.840,00;13.834,70;10.079,12;9.477,52;68,51
;;;;;"SEM APLICACAO";50.000,00;14.840,00;13.834,70;10.079,12;9.477,52;68,51
;;;"PESSOAL E ENCARGOS SOCIAIS";;;57.912.000,00;58.737.920,00;58.014.786,08;58.010.934,75;53.441.819,34;92,12
;;;;"Contratacao por Tempo Determinado";;16.004.000,00;1.324.920,00;1.180.756,11;1.180.756,11;1.179.258,51;99,87
;;;;;"SEM APLICACAO";16.004.000,00;1.324.920,00;1.180.756,11;1.180.756,11;1.179.258,51;99,87
;;;;"Contribuicoes Patronais  19  I ";;9.975.000,00;9.163.100,00;9.163.082,15;9.163.082,15;8.444.196,54;92,15
;;;;;"SEM APLICACAO";6.020.000,00;7.750.030,00;7.750.021,47;7.750.021,47;7.129.952,35;92,00
;;;;"Indenizacoes e Restituicoes Trabalhistas";;15.000,00;28.380,00;28.373,06;24.521,73;15.777,25;55,61
;;;;;"SEM APLICACAO";15.000,00;28.380,00;28.373,06;24.521,73;15.777,25;55,61
;;;;"Obrigacoes Patronais";;9.975.000,00;9.163.100,00;9.163.082,15;9.163.082,15;8.444.196,54;92,15
