Categoria Econômica;Grupo de despesa;Elemento;Subelemento;Dotação Inicial;Dotação Atualizada;Empenhado (E);Liquidado;Pago (P)
"DESPESAS CORRENTES";;;;453.171.800,00;494.397.860,57;470.211.928,28;460.103.591,63;421.367.151,63
;"PESSOAL E ENCARGOS SOCIAIS";;;309.202.600,00;320.291.130,00;306.575.895,54;306.561.400,00;278.138.172,91
;;"Aposentadorias  Reserva Remunerada e Reformas";;61.986.500,00;65.525.130,00;65.361.379,50;65.361.379,50;60.010.571,57
;;;"Aposentadorias  Reserva Remunerada e Reformas";61.986.500,00;65.525.130,00;65.361.379,50;65.361.379,50;60.010.571,57
;;"Pensoes";;9.566.900,00;9.598.790,00;9.581.146,21;9.581.146,21;8.818.423,80
;;;"Pensoes";9.566.900,00;9.598.790,00;9.581.146,21;9.581.146,21;8.818.423,80
;;"Contratacao por Tempo Determinado";;26.337.000,00;4.383.272,00;4.239.091,54;4.239.091,54;4.231.504,17
;;;"Contratacao por Tempo Determinado";26.337.000,00;4.383.272,00;4.239.091,54;4.239.091,54;4.231.504,17
;;"Outros Benefic.Previd.Servidor ou Milita";;10.300,00;7.630,00;7.620,44;7.620,44;7.620,44
;;;"Outros Benefic.Previd.Servidor ou Milita";10.300,00;7.630,00;7.620,44;7.620,44;7.620,44
;;"Vencimentos e Vantagens Fixas   Pessoal Civil";;149.194.600,00;176.020.186,00;165.087.371,04;165.087.371,04;151.726.142,39
;;;"Vencimentos e Vantagens Fixas   Pessoal Civil";149.194.600,00;176.020.186,00;165.087.371,04;165.087.371,04;151.726.142,39
;;"Obrigacoes Patronais";;41.819.400,00;40.552.360,00;38.199.290,54;38.199.290,54;32.812.784,96
;;;"Obrigacoes Patronais";12.426.400,00;8.336.190,00;6.636.754,44;6.636.754,44;6.154.380,14
;;;"Contribuicoes Patronais  19  I ";29.393.000,00;32.216.170,00;31.562.536,10;31.562.536,10;26.658.404,82
;;"Outras Despesas Variaveis   Pessoal Civil";;11.162.600,00;13.540.292,00;13.470.454,44;13.470.454,44;11.061.947,08
;;;"Outras Despesas Variaveis   Pessoal Civil";11.162.600,00;13.540.292,00;13.470.454,44;13.470.454,44;11.061.947,08
;;"Sentencas Judiciais";;8.005.000,00;9.795.630,00;9.795.607,47;9.795.607,47;8.987.789,19
;;;"Sentencas Judiciais";8.005.000,00;9.795.630,00;9.795.607,47;9.795.607,47;8.987.789,19
;;"Despesas de Exercicios Anteriores";;115.000,00;309.570,00;309.542,20;309.542,20;61.510,00
;;;"Despesas de Exercicios Anteriores";115.000,00;309.570,00;309.542,20;309.542,20;61.510,00
;;"Indenizacoes e Restituicoes Trabalhistas";;301.000,00;249.660,00;236.143,96;221.648,42;156.619,20
;;;"Indenizacoes e Restituicoes Trabalhistas";301.000,00;249.660,00;236.143,96;221.648,42;156.619,20
;;"Ressarcimento de Despesas de Pessoal Requisitado";;704.300,00;308.610,00;288.248,20;288.248,20;263.260,11
;;;"Ressarcimento de Despesas de Pessoal Requisitado";704.300,00;308.610,00;288.248,20;288.248,20;263.260,11
;"JUROS E ENCARGOS DA DIVIDA";;;715.000,00;439.870,00;439.866,33;439.866,33;439.866,33
;;"Juros sobre a Divida por Contrato";;10.000,00;0,00;0,00;0,00;0,00
;;;"Juros sobre a Divida por Contrato";10.000,00;0,00;0,00;0,00;0,00
;;"Outros Encargos sobre a Divida por Contrato";;5.000,00;0,00;0,00;0,00;0,00
;;;"Outros Encargos sobre a Divida por Contrato";5.000,00;0,00;0,00;0,00;0,00
;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";;700.000,00;439.870,00;439.866,33;439.866,33;439.866,33
;;;"Encargos sobre Operacoes de Credito por Antecipacao da Receita";700.000,00;439.870,00;439.866,33;439.866,33;439.866,33
;"OUTRAS DESPESAS CORRENTES";;;143.254.200,00;173.666.860,57;163.196.166,41;153.102.325,30;142.789.112,39
;;"Outros Beneficios Assistenciais";;60.000,00;59.250,00;59.250,00;59.250,00;59.250,00
;;;"Outros Beneficios Assistenciais";60.000,00;59.250,00;59.250,00;59.250,00;59.250,00
;;"Diarias   Civil";;289.300,00;82.978,00;71.120,00;71.120,00;71.120,00
;;;"Diarias   Civil";289.300,00;82.978,00;71.120,00;71.120,00;71.120,00
;;"Auxilio Fardamento";;0,00;91.420,00;80.652,00;80.652,00;0,00
;;;"Auxilio Fardamento";0,00;91.420,00;80.652,00;80.652,00;0,00
;;"Material de Consumo";;18.524.400,00;21.837.667,94;19.852.670,89;17.886.758,13;16.941.780,99
;;;"Material de Consumo";18.524.400,00;21.837.667,94;19.852.670,89;17.886.758,13;16.941.780,99
;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";;8.000,00;0,00;0,00;0,00;0,00
;;;"Premiacoes Culturais  Artisticas  Cientificas  Desportivas e Outras  6  I ";8.000,00;0,00;0,00;0,00;0,00
;;"Material de Distribuicao Gratuita";;2.341.700,00;2.500.540,00;2.477.474,70;2.345.751,77;1.781.867,09
;;;"Material de Distribuicao Gratuita";2.341.700,00;2.500.540,00;2.477.474,70;2.345.751,77;1.781.867,09
;;"Passagens e Despesas com Locomocao";;401.400,00;186.246,65;184.235,36;175.148,42;174.546,82
;;;"Passagens e Despesas com Locomocao";401.400,00;186.246,65;184.235,36;175.148,42;174.546,82
;;"Servicos de Consultoria";;3.701.200,00;3.386.580,00;3.386.571,82;3.202.455,15;2.160.155,15
;;;"Servicos de Consultoria";3.701.200,00;3.386.580,00;3.386.571,82;3.202.455,15;2.160.155,15
;;"Outros Servicos de Terceiros   Pessoa Fisica";;1.738.100,00;1.845.710,00;1.211.899,72;1.160.493,94;1.064.131,93
;;;"Outros Servicos de Terceiros   Pessoa Fisica";1.738.100,00;1.845.710,00;1.211.899,72;1.160.493,94;1.064.131,93
;;"Locacao de Mao de Obra";;3.103.000,00;2.573.370,00;2.571.563,70;2.314.302,19;2.109.136,45
;;;"Locacao de Mao de Obra";3.103.000,00;2.573.370,00;2.571.563,70;2.314.302,19;2.109.136,45
;;"Outros Servicos de Terceiros   Pessoa Juridica";;91.061.400,00;112.575.355,61;106.970.948,17;99.875.692,52;94.758.207,05
;;;"Outros Servicos de Terceiros   Pessoa Juridica";91.061.400,00;112.575.355,61;106.970.948,17;99.875.692,52;94.758.207,05
;;"Contribuicoes";;123.500,00;113.880,00;113.835,00;113.835,00;113.835,00
;;;"Contribuicoes";123.500,00;113.880,00;113.835,00;113.835,00;113.835,00
;;"Subvencoes Sociais";;2.177.300,00;3.617.100,00;3.382.077,99;3.266.131,99;1.899.106,97
;;;"Subvencoes Sociais";2.177.300,00;3.617.100,00;3.382.077,99;3.266.131,99;1.899.106,97
;;"Auxilio Alimentacao";;528.500,00;320.600,00;318.952,33;317.952,33;132.828,33
;;;"Auxilio Alimentacao";528.500,00;320.600,00;318.952,33;317.952,33;132.828,33
;;"Obrigacoes Tributarias e Contributivas";;4.334.100,00;4.563.565,80;4.563.446,56;4.562.126,56;4.555.857,42
;;;"Obrigacoes Tributarias e Contributivas";4.334.100,00;4.563.315,80;4.563.196,56;4.561.876,56;4.555.607,42
;;;"Obrigacoes Tributarias e Contributivas  13  I ";0,00;250,00;250,00;250,00;250,00
;;"Outros Auxilios Financeiros a Pessoas Fisicas";;2.797.900,00;2.659.630,00;2.659.628,32;2.644.817,32;2.473.367,32
;;;"Outros Auxilios Financeiros a Pessoas Fisicas";2.797.900,00;2.659.630,00;2.659.628,32;2.644.817,32;2.473.367,32
;;"Auxilio Transporte";;8.021.000,00;8.748.760,00;8.748.735,35;8.748.735,35;8.228.650,37
;;;"Auxilio Transporte";8.021.000,00;8.748.760,00;8.748.735,35;8.748.735,35;8.228.650,37
;;"Sentencas Judiciais";;498.000,00;101.730,00;101.721,74;101.721,74;101.721,74
;;;"Sentencas Judiciais";498.000,00;101.730,00;101.721,74;101.721,74;101.721,74
;;"Despesas de Exercicios Anteriores";;3.099.600,00;3.480.070,00;3.446.069,56;3.426.721,03;3.417.707,33
;;;"Despesas de Exercicios Anteriores";3.099.600,00;3.480.070,00;3.446.069,56;3.426.721,03;3.417.707,33
